TOA5,
TIMESTAMP,
단위,mm
factor,
초기치,
2022-09-29 8:25,0.750288
2022-09-29 8:30,0.749067
2022-09-29 8:35,0.749364
2022-09-29 8:40,0.75625
2022-09-29 8:45,0.755183
2022-09-29 8:50,0.752796
2022-09-29 8:55,0.752334
2022-09-29 9:00,0.75317
2022-09-29 9:05,0.755843
2022-09-29 9:10,0.762993
2022-09-29 9:15,0.768119
2022-09-29 9:20,0.769703
2022-09-29 9:25,0.7667
2022-09-29 9:30,0.76241
2022-09-29 9:35,0.757845
2022-09-29 9:40,0.760463
2022-09-29 9:45,0.760573
2022-09-29 9:50,0.758505
2022-09-29 9:55,0.760034
2022-09-29 10:00,0.762861
2022-09-29 10:05,0.762201
2022-09-29 10:10,0.76593
2022-09-29 10:15,0.771705
2022-09-29 10:20,0.774939
2022-09-29 10:25,0.770495
2022-09-29 10:30,0.744216
2022-09-29 10:35,0.749683
2022-09-29 10:40,0.752708
2022-09-29 10:45,0.738837
2022-09-29 10:50,0.743985
2022-09-29 10:55,0.745294
2022-09-29 11:00,0.727573
2022-09-29 11:05,0.731027
2022-09-29 11:10,0.746746
2022-09-29 11:15,0.74525
2022-09-29 11:20,0.73634
2022-09-29 11:25,0.728266
2022-09-29 11:30,0.736989
2022-09-29 11:35,0.725164
2022-09-29 11:40,0.727507
2022-09-29 11:45,0.742929
2022-09-29 11:50,0.7359
2022-09-29 11:55,0.737341
2022-09-29 12:00,0.735746
2022-09-29 12:05,0.735625
2022-09-29 12:10,0.735834
2022-09-29 12:15,0.730059
2022-09-29 12:20,0.748825
2022-09-29 12:25,0.751762
2022-09-29 12:30,0.752565
2022-09-29 12:35,0.737825
2022-09-29 12:40,0.768922
2022-09-29 12:45,0.769043
2022-09-29 12:50,0.778349
2022-09-29 12:55,0.777304
2022-09-29 13:00,0.788447
2022-09-29 13:05,0.787435
2022-09-29 13:10,0.76439
2022-09-29 13:15,0.785147
2022-09-29 13:20,0.77825
2022-09-29 13:25,0.638539
2022-09-29 13:30,0.627572
2022-09-29 13:35,0.631653
2022-09-29 13:40,0.627671
2022-09-29 13:45,0.638902
2022-09-29 13:50,0.629497
2022-09-29 13:55,0.635305
2022-09-29 14:00,0.638198
2022-09-29 14:05,0.623348
2022-09-29 14:10,0.625559
2022-09-29 14:15,0.62821
2022-09-29 14:20,0.626912
2022-09-29 14:25,0.619729
2022-09-29 14:30,0.628166
2022-09-29 14:35,0.614108
2022-09-29 14:40,0.618882
2022-09-29 14:45,0.618002
2022-09-29 14:50,0.62997
2022-09-29 14:55,0.628375
2022-09-29 15:00,0.627836
2022-09-29 15:05,0.626329
2022-09-29 15:10,0.624173
2022-09-29 15:15,0.629079
2022-09-29 15:20,0.631202
2022-09-29 15:25,0.632049
2022-09-29 15:30,0.622094
2022-09-29 15:35,0.628034
2022-09-29 15:40,0.623095
2022-09-29 15:45,0.626087
2022-09-29 15:50,0.621027
2022-09-29 15:55,0.631213
2022-09-29 16:00,0.637406
2022-09-29 16:05,0.631928
2022-09-29 16:10,0.644952
2022-09-29 16:15,0.64009
2022-09-29 16:20,0.649638
2022-09-29 16:25,0.642004
2022-09-29 16:30,0.64636
2022-09-29 16:35,0.646998
2022-09-29 16:40,0.642125
2022-09-29 16:45,0.646833
2022-09-29 16:50,0.65395
2022-09-29 16:55,0.652333
2022-09-29 17:00,0.654775
2022-09-29 17:05,0.662354
2022-09-29 17:10,0.654676
2022-09-29 17:15,0.652784
2022-09-29 17:20,0.660462
2022-09-29 17:25,0.664983
2022-09-29 17:30,0.667205
2022-09-29 17:35,0.661573
2022-09-29 17:40,0.65296
2022-09-29 17:45,0.648406
2022-09-29 17:50,0.650628
2022-09-29 17:55,0.638957
2022-09-29 18:00,0.615736
2022-09-29 18:05,0.609356
